home_team,away_team,n,brier,logloss,ece
Manchester_United,Arsenal,6.0,0.47087455910622095,0.8208214337341447,0.2812689280046163
Manchester_City,Tottenham,6.0,0.5553489936785487,0.9201944226428144,0.42246716599651046
Everton,Brighton,6.0,0.39417380479292,0.7047022288724669,0.2258845889170003
Wolverhampton_Wanderers,Manchester_City,6.0,0.27786937230969505,0.5402278653489073,0.3106982548293407
Chelsea,Crystal_Palace,6.0,0.49080003884393725,0.8268916419091017,0.36954433270243786
West_Ham,Chelsea,6.0,0.2954970437593603,0.5543027888309618,0.33350351252040167
Newcastle_United,Liverpool,6.0,0.7500227888152935,1.2395544026861594,0.3145212633994083
Aston_Villa,Newcastle_United,6.0,0.2913316375483756,0.5275221361666613,0.3583545520307778
Liverpool,Arsenal,5.0,0.6790897834766934,1.1397418382214128,0.41198410681890263
Liverpool,Chelsea,5.0,0.5263936258193997,0.8510788683948972,0.251241111934063
Liverpool,Aston_Villa,5.0,0.2660252478590275,0.5109190518454303,0.13903259731814313
Everton,Wolverhampton_Wanderers,5.0,0.5946928201395946,0.9622943611136522,0.5039797162696319
Fulham,Manchester_United,5.0,0.6784314182270312,1.2117654789993113,0.25833196770314915
Liverpool,Everton,5.0,0.21872592042635097,0.44990264428248106,0.343066484278825
Everton,West_Ham,5.0,0.6256047607091254,1.0289617944588145,0.2912137616212539
Everton,Tottenham,5.0,0.8061847412062736,1.2824990997551637,0.5697955902834546
Everton,Newcastle_United,5.0,0.4363130285023587,0.7522968393209801,0.12451739040249994
Liverpool,Crystal_Palace,5.0,0.5944624947777315,0.9933717752905455,0.41085537776312525
Liverpool,Manchester_City,5.0,0.4030221681584913,0.7145354352845253,0.32624639930491867
Everton,Manchester_City,5.0,0.36178833851028486,0.6740169614547524,0.4135359704525561
Liverpool,Manchester_United,5.0,0.6115784000535847,0.9816381629928823,0.3904430570979551
Liverpool,Newcastle_United,5.0,0.36460437896274833,0.61133543421312,0.33045296179996647
Liverpool,Tottenham,5.0,0.37591618541785105,0.6824850956961881,0.3306551888433256
Liverpool,West_Ham,5.0,0.35798713346198024,0.6440323178996831,0.3560927190166881
Liverpool,Wolverhampton_Wanderers,5.0,0.12669187564155843,0.3079170417981671,0.25277289749784604
Manchester_City,Arsenal,5.0,0.4871741979176868,0.7912415093733636,0.19519387808856217
Manchester_City,Aston_Villa,5.0,0.17914866965894746,0.3448758115416598,0.18202443640222069
Manchester_City,Brighton,5.0,0.37432862533677486,0.6796848328930905,0.34270573792187947
Manchester_City,Chelsea,5.0,0.7553664291793709,1.2686059160083236,0.3993452879874064
Manchester_City,Crystal_Palace,5.0,0.37002552266058475,0.6455511641957056,0.18796534323264394
Manchester_City,Everton,5.0,0.6308225750668152,0.9713882438690176,0.1984164312493019
Manchester_City,Liverpool,5.0,0.6536273614313074,1.0514812662889406,0.38828668654241155
Manchester_City,Manchester_United,5.0,0.1334880652399777,0.32610789491700076,0.2672464411197526
Everton,Manchester_United,5.0,0.6451844009143255,1.0638460132802723,0.33145485445521244
Everton,Chelsea,5.0,0.547734014634683,0.9273095011350613,0.1284099739696577
Everton,Liverpool,5.0,0.6392649549753335,1.0497270057800228,0.37785263878788494
Everton,Crystal_Palace,5.0,0.8896327710422136,1.3712769587872544,0.5529040059135596
Chelsea,Arsenal,5.0,0.6285391267398002,1.0521280182733375,0.4227818727092771
Chelsea,Aston_Villa,5.0,0.7400650700774147,1.2239336587394993,0.3862064052275694
Chelsea,Brighton,5.0,0.3138904973779038,0.58394332959035,0.4104432892718678
Chelsea,Everton,5.0,0.6669786256047524,1.094114572321598,0.3503615161126178
Chelsea,Liverpool,5.0,0.6931778827533968,1.100078233803419,0.4729085084947787
Chelsea,Manchester_City,5.0,0.3820111709105191,0.7172743998254336,0.35200963527728457
Chelsea,Manchester_United,5.0,0.6389345825634527,0.9908832413375135,0.38184185755083294
Chelsea,Newcastle_United,5.0,0.42536772443817694,0.7480855581223717,0.3704685089119141
Chelsea,Tottenham,5.0,0.5755227666185263,0.9451792430047845,0.23835817474111426
Chelsea,West_Ham,5.0,0.33801920132298224,0.6209533529179233,0.31796011885955733
Chelsea,Wolverhampton_Wanderers,5.0,0.420338516406671,0.7551244811180026,0.24815079408120794
Crystal_Palace,Arsenal,5.0,0.32580024812774977,0.6240633634656703,0.4547841802784959
Crystal_Palace,Aston_Villa,5.0,0.310951243243263,0.6072923023675354,0.2977301923037782
